Symbol,Name,Industry,IndustryCode,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
AJX,Great Ajax Corp,주택 및 상업용 리츠,601020.0,1,1,1,1,1,1,1,1,1,1,1,1
MITT,AG Mortgage Investment Trust Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,6,6,6,6,6,6
CLPR,Clipper Realty Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,5,6,2,2,6,6,6,6
PEI,Pennsylvania Real Estate Investment Trust,주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,5,5,5,5,5,5
CORR,CorEnergy Infrastructure Trust Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,6,6,6,6,6,6
NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010.0,0,0,0,3,3,3,3,9,9,9,9,9
INTC,Intel Corp,반도체 및 반도체 장비,571010.0,0,0,0,0,0,0,0,0,0,0,0,0
AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,3,3,0,9,9,9,9,9
CHTR,Charter Communications Inc Class A,통신 서비스,574010.0,0,0,0,0,0,0,0,0,0,0,0,0
MU,Micron Technology Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,3,3,0,3,3,3,3,3
EQIX,Equinix Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010.0,0,0,0,0,3,3,3,3,3,3,3,3
SBAC,SBA Communications Corp Class A,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
CONE,CyrusOne Inc,주택 및 상업용 리츠,601020.0,0,0,0,0,0,0,0,0,0,0,0,0
REG,Regency Centers Corp,주택 및 상업용 리츠,601020.0,2,3,2,2,2,2,2,2,2,2,2,2
LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,3,3,3,3,3
GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,3,3,3,3,3
GDS,GDS Holdings Ltd ADR,소프트웨어 및 IT서비스,572010.0,0,0,0,0,0,0,0,0,0,0,0,0
AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020.0,1,2,2,5,5,6,6,6,10,10,10,10
FSLR,First Solar Inc,재생에너지,502010.0,0,0,0,0,3,3,3,3,3,4,4,4
ARNA,Arena Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020.0,0,0,0,0,0,0,0,0,0,0,0,0
NWE,NorthWestern Corp,전기 유틸리티,591010.0,2,3,4,4,4,1,8,8,8,8,12,12
SBRA,Sabra Health Care REIT Inc,주택 및 상업용 리츠,601020.0,1,1,1,5,5,6,6,6,6,6,6,6
UNIT,Uniti Group Inc,주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,5,5,5,5,5,5
ROIC,Retail Opportunity Investments Corp,주택 및 상업용 리츠,601020.0,1,1,2,2,2,6,2,2,10,10,10,10
CTRE,CareTrust REIT Inc,주택 및 상업용 리츠,601020.0,0,3,4,4,4,0,8,8,8,8,12,12
CSIQ,Canadian Solar Inc,재생에너지,502010.0,0,0,0,0,0,0,0,0,0,4,4,4
ILPT,Industrial Logistics Properties Trust,주택 및 상업용 리츠,601020.0,2,3,3,3,6,4,4,4,4,4,4,4
SVC,Service Properties Trust,주택 및 상업용 리츠,601020.0,1,1,1,1,5,6,6,6,6,6,6,6
VNET,VNET Group Inc ADR,소프트웨어 및 IT서비스,572010.0,0,0,0,0,0,0,0,0,0,4,4,4
NYMT,New York Mortgage Trust Inc,주택 및 상업용 리츠,601020.0,1,1,1,1,1,6,6,6,6,6,6,6
OPI,Office Properties Income Trust,주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,5,5,5,5,5,5
LAND,Gladstone Land Corp,주택 및 상업용 리츠,601020.0,0,0,3,3,3,3,3,9,9,9,9,9
GOOD,Gladstone Commercial Corp,주택 및 상업용 리츠,601020.0,2,3,4,4,4,7,7,7,8,8,8,8
DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,5,5,5,5,5,5
CSWC,Capital Southwest Corp,투자은행 및 서비스,551020.0,2,3,4,2,2,2,7,7,2,2,2,2
SMMT,Summit Therapeutics Inc,생명과학 및 메디컬 리서치,562020.0,1,2,2,5,5,5,5,5,5,5,5,5
CMCT,CIM Commercial Trust Corp,주택 및 상업용 리츠,601020.0,1,1,1,5,5,6,6,6,6,6,6,6
VEV,Vicinity Motor Corp,"건설장비 및 대형차, 기차, 배",521020.0,2,2,2,3,6,4,4,4,4,11,11,11
FCAP,First Capital Inc,은행,551010.0,0,0,0,0,0,0,0,0,0,0,0,0
BRG,Bluerock Residential Growth REIT Inc Class A,주택 및 상업용 리츠,601020.0,2,3,3,2,6,7,7,7,7,7,7,7
FSP,Franklin Street Properties Corp,주택 및 상업용 리츠,601020.0,1,2,2,5,5,5,5,5,5,5,5,5
